transaction_id,timestamp,amount,customer_id,customer_age,customer_gender,location,transaction_type,account_balance_before,device_type,network_provider,failed_attempts,ip_address,is_fraud,account_balance_after,hour,day_of_week,is_weekend,amount_to_balance_ratio,country_code
c256155f-1d9f-420c-9c88-4ec1d692073f,2025-01-18 19:07:14,115.48,914ab739,55,F,UG-Entebbe,P2P,3490.77,Agent,MTN,0,181.185.252.242,0,3375.29,19,5,1,0.033081526425401846,UG
0678f371-1493-4a03-8c2c-9fe42fb6e3c8,2025-02-23 16:35:24,139.93,29bebe02,38,M,BI-Bujumbura,P2P,8758.52,USSD,Airtel,0,199.161.93.45,0,8618.59,16,6,1,0.015976443508720652,BI
9d055289-6ba2-460e-9455-6c258b1d1ee9,2025-01-29 19:33:25,90.91,05d1365f,41,F,RW-Kigali,Pay Bill,4481.53,Mobile App,Safaricom,0,104.10.198.117,0,4390.62,19,2,0,0.02028548285964838,RW
abfa98c8-6b44-4934-a65a-209cc3b8b987,2025-02-24 16:36:51,61.97,8d3d0d23,22,F,TZ-Dar es Salaam,Cashout,8384.69,USSD,Safaricom,0,138.170.226.177,0,8322.720000000001,16,0,0,0.007390851659393489,TZ
9b36c216-1c4d-4244-8a8d-233ef83585bf,2025-02-19 00:58:23,101.0,845f2e8a,54,M,RW-Kigali,Airtime,2853.83,Mobile App,Safaricom,0,,0,2752.83,0,2,0,0.03539103590613316,RW
5b41c4d6-f337-4e43-84bf-8a898ec93d8a,2025-01-25 02:28:43,156.56,2ddb1a28,32,F,TZ-Dar es Salaam,Pay Bill,3988.08,Mobile App,Safaricom,1,,1,3831.52,2,5,1,0.03925698581773686,TZ
a316f970-688f-423b-9e11-5f54bf19a140,2025-02-02 06:37:04,110.69,92aaa1ed,18,F,RW-Kigali,Cashout,6076.22,USSD,Airtel,0,,0,5965.530000000001,6,6,1,0.01821691775478834,RW
98a11f5d-d6d7-404a-aa23-7ad2ef15bac4,2025-02-26 17:13:32,45.9,1ce4d211,42,F,TZ-Arusha,Pay Bill,7905.57,Mobile App,Safaricom,0,,0,7859.67,17,2,0,0.0058060329615701334,TZ
0dc5d2e7-e392-49b0-898a-d49427fffde0,2025-01-25 18:35:05,185.65,2e027869,22,M,UG-Entebbe,Airtime,403.15,Mobile App,Safaricom,0,150.10.168.179,0,217.49999999999997,18,5,1,0.46049857373186165,UG
c00fba33-1dc6-45c8-9a3c-36aba8ce5210,2025-02-12 13:37:50,185.78,f2086355,18,F,UG-Entebbe,Airtime,9896.3,Mobile App,Safaricom,0,,0,9710.519999999999,13,2,0,0.018772672615017735,UG
a5004d36-8720-48b2-91b2-9a437c18fb75,2025-01-20 04:29:55,109.17,c3369c88,22,M,KE-Mombasa,P2P,5035.75,Agent,Airtel,0,,0,4926.58,4,0,0,0.021678995184431317,KE
5c8a05d9-61dd-487f-b93d-e7d291e3076d,2025-01-11 21:48:06,158.15,8bb6d971,69,M,KE-Kisumu,Airtime,9517.82,USSD,Safaricom,0,113.224.208.56,0,9359.67,21,5,1,0.016616199928134807,KE
0f9fd972-a179-47d6-b5ca-033c9c860408,2025-01-25 01:03:34,1.0,6dbe0260,53,F,RW-Kigali,P2P,1167.77,Agent,Safaricom,0,40.10.106.245,0,1166.77,1,5,1,0.0008563330107812326,RW
c2a67385-c181-418f-892a-323729eccce5,2025-01-24 00:49:41,114.15,33e47244,26,F,BI-Bujumbura,Pay Bill,827.16,Mobile App,MTN,0,135.81.35.222,0,713.01,0,4,0,0.13800232119541564,BI
c9deb345-9764-49f5-a136-71025217c550,2025-03-03 18:16:45,225.35,06b9092b,52,M,TZ-Arusha,P2P,3918.94,USSD,Safaricom,0,59.204.240.105,0,3693.59,18,0,0,0.057502794122900575,TZ
1f951e1b-0f10-4766-ac41-3ae5d5bc3d08,2025-01-28 10:48:16,138.16,a00fe611,40,F,KE-Mombasa,Cashout,3699.93,USSD,Safaricom,0,,0,3561.77,10,1,0,0.0373412469965648,KE
11502c7c-ae2a-4aa2-a470-b05d0b6485d2,2025-01-14 22:20:02,166.02,716d162b,46,M,RW-Kigali,Pay Bill,2874.69,Mobile App,Airtel,0,136.198.241.206,0,2708.67,22,1,0,0.057752314162570574,RW
2b21ba73-e4d8-4a40-937d-d73a01b72af5,2025-01-09 20:56:09,191.51,4d2dc070,54,F,KE-Mombasa,Pay Bill,1444.16,Mobile App,MTN,0,218.150.237.236,0,1252.65,20,3,0,0.13260996011522266,KE
3ffc2f7a-c3d7-415e-b6b5-c3f07a8f5e5e,2025-02-01 17:13:20,63.38,e98d6138,20,F,KE-Nairobi,P2P,1075.59,Mobile App,Airtel,0,19.186.8.144,0,1012.2099999999999,17,5,1,0.058925798863879365,KE
20d3cb18-0287-4184-8cd6-9ec017899a2a,2025-01-29 15:50:28,143.92,cbb368ec,32,M,UG-Kampala,P2P,1664.79,USSD,Safaricom,0,,0,1520.87,15,2,0,0.08644934195904588,UG
0c2959b8-a3ad-41f4-91a6-596481e415d7,2025-02-03 22:12:56,101.54,13842e5f,36,F,TZ-Arusha,Airtime,8183.28,Mobile App,MTN,0,79.2.106.205,0,8081.74,22,0,0,0.012408227507796386,TZ
42d0e131-2426-440e-8b8b-29815c15a354,2025-01-31 15:14:51,288.74,70e0a6e4,53,F,KE-Mombasa,P2P,5509.05,USSD,Safaricom,3,,1,5220.31,15,4,0,0.052411940352692386,KE
e4bee6ad-db0e-4549-9028-11b51c358254,2025-02-27 04:52:22,73.46,aa37c4bc,23,M,TZ-Dar es Salaam,Airtime,177.06,Mobile App,Safaricom,0,66.38.84.151,0,103.60000000000001,4,3,0,0.4148876087202078,TZ
fbe4bdc4-8051-493c-b0e4-ce9f367fcf57,2025-01-26 15:01:20,194.82,a2443df1,58,F,UG-Entebbe,Pay Bill,8160.75,USSD,MTN,0,32.49.105.5,0,7965.93,15,6,1,0.02387280580828968,UG
f0314f74-0edd-4ddc-a9cc-586a5712b8f5,2025-01-28 16:36:11,197.78,5fa55620,28,Other,TZ-Dar es Salaam,Cashout,1038.87,Mobile App,Safaricom,0,63.79.19.98,0,841.0899999999999,16,1,0,0.19037993204154516,TZ
72fca95c-1f67-4d82-a7eb-b441fac00826,2025-02-16 07:52:29,56.4,4411d616,32,F,UG-Kampala,Deposit,746.69,USSD,MTN,0,25.252.98.162,0,690.2900000000001,7,6,1,0.07553335386840589,UG
